origin,destination,demand
5,4,17621
4,5,17506
4,9,13045
4,12,12868
4,39,12731
146,149,11386
5,2,11227
9,4,11011
69,4,10910
4,36,10784
12,4,10290
46,5,9992
72,4,9749
1,4,9283
43,5,9189
4,72,9054
5,39,8942
4,69,8795
72,69,8795
4,42,8653
2,4,8579
4,44,8396
30,133,8366
114,113,8263
113,114,8075
4,68,8021
5,36,8011
4,48,7990
12,5,7929
46,4,7828
11,5,7774
149,146,7730
43,4,7724
44,5,7723
5,12,7344
69,5,7262
105,104,6763
72,5,6756
69,9,6747
44,4,6701
76,72,6685
72,9,6620
4,35,6605
46,43,6595
1,2,6514
5,44,6367
117,113,6311
112,113,6287
39,5,6159
70,5,6124
5,42,5972
9,72,5968
5,72,5941
45,4,5919
4,2,5892
4,13,5887
69,72,5871
9,5,5808
7,5,5799
5,69,5793
37,5,5773
104,72,5740
45,5,5727
124,125,5727
45,46,5695
113,120,5687
4,46,5642
125,124,5636
151,149,5623
11,4,5618
139,146,5524
149,3,5456
101,99,5437
9,69,5430
39,43,5347
4,18,5312
71,4,5305
121,113,5301
40,5,5272
72,76,5270
5,68,5269
5,9,5252
62,58,5226
72,71,5224
4,43,5191
133,124,5154
43,39,5141
37,4,5108
113,121,5068
30,136,5062
39,4,5051
39,42,5006
147,149,4970
29,32,4953
61,58,4891
15,4,4865
15,5,4843
4,45,4832
71,5,4825
40,4,4820
41,5,4797
21,5,4749
149,145,4717
139,145,4714
48,5,4702
1,5,4688
71,72,4685
8,5,4674
35,5,4660
2,5,4637
101,86,4626
4,71,4609
43,44,4597
72,58,4596
65,72,4545
145,146,4521
97,98,4518
5,46,4507
72,62,4504
32,31,4490
86,97,4484
5,48,4483
35,43,4465
13,4,4458
145,139,4406
72,91,4387
9,18,4358
9,2,4342
4,62,4342
136,131,4296
4,47,4293
46,44,4280
68,72,4272
46,12,4261
4,17,4247
46,47,4243
30,130,4233
125,131,4220
46,9,4220
146,139,4215
15,3,4205
93,86,4204
149,148,4198
30,127,4171
70,4,4157
5,30,4135
43,12,4118
9,44,4114
66,69,4103
36,5,4101
5,26,4096
113,117,4095
42,36,4093
84,83,4065
40,43,4063
4,8,4061
4,10,4058
12,36,4047
57,58,4041
5,43,4037
9,12,4036
76,69,4027
64,62,4026
83,5,4013
44,43,4000
43,36,3994
65,4,3976
149,150,3974
9,35,3973
5,18,3933
48,46,3932
48,72,3927
4,30,3916
39,47,3878
9,39,3861
4,41,3849
5,35,3840
104,4,3839
113,116,3833
76,4,3830
12,2,3829
4,67,3802
4,76,3789
20,5,3783
19,18,3781
140,139,3776
39,48,3770
113,112,3757
38,5,3744
86,101,3734
69,2,3732
131,133,3729
58,57,3710
84,33,3706
72,46,3700
99,100,3700
31,29,3697
149,147,3686
127,130,3686
48,4,3682
68,4,3671
11,35,3661
150,139,3650
5,140,3646
44,9,3639
72,12,3638
135,145,3636
150,151,3634
4,33,3632
104,69,3628
57,72,3613
42,47,3600
14,15,3598
133,131,3598
4,3,3594
15,36,3594
38,4,3573
93,97,3569
4,26,3567
13,5,3554
14,3,3553
36,4,3549
18,35,3546
5,13,3534
120,113,3527
18,17,3520
149,139,3517
9,68,3506
65,69,3502
30,32,3493
47,48,3492
5,19,3488
62,63,3476
29,34,3472
145,149,3470
4,133,3463
9,36,3455
15,9,3445
5,24,3442
126,133,3435
99,86,3434
4,83,3432
121,125,3419
44,42,3411
4,37,3404
121,129,3403
41,4,3400
12,9,3392
71,45,3383
130,133,3372
2,9,3371
8,9,3367
4,40,3363
83,84,3360
32,140,3341
42,5,3340
72,98,3340
105,72,3326
100,101,3321
45,48,3305
33,31,3302
133,130,3301
36,43,3301
65,64,3288
17,5,3282
89,72,3282
64,72,3280
45,44,3278
15,39,3277
68,69,3270
42,48,3261
45,9,3258
5,45,3242
140,138,3233
5,32,3231
29,69,3230
30,113,3228
97,86,3227
11,9,3224
40,9,3216
9,71,3182
49,48,3174
68,5,3173
43,18,3172
49,5,3170
4,84,3169
39,44,3167
57,65,3167
12,13,3165
12,46,3162
12,43,3162
31,138,3159
86,98,3158
30,134,3147
9,26,3146
23,30,3139
80,82,3138
37,43,3136
82,79,3135
29,11,3132
4,86,3125
40,36,3122
141,149,3120
47,46,3108
146,145,3107
63,5,3105
49,61,3094
89,91,3091
43,2,3090
30,124,3088
43,9,3088
43,46,3086
42,40,3077
74,46,3077
72,104,3071
4,20,3066
34,31,3048
5,67,3041
12,44,3038
63,4,3034
72,2,3029
4,25,3028
71,9,3026
13,42,3023
9,46,3021
5,47,3015
26,4,3015
69,76,3008
151,150,3007
74,4,3006
57,4,3001
46,18,2994
79,31,2994
5,25,2987
44,39,2986
105,69,2970
11,39,2966
35,4,2961
79,19,2960
25,32,2945
32,33,2942
43,72,2942
125,121,2930
5,71,2930
146,3,2922
69,12,2920
86,99,2919
84,4,2917
21,4,2917
13,39,2900
6,7,2899
74,5,2894
37,36,2891
4,63,2890
104,89,2890
95,86,2889
31,3,2887
30,131,2887
70,9,2884
131,124,2884
30,121,2878
32,11,2876
133,127,2876
31,140,2874
66,5,2865
125,136,2855
17,26,2852
112,127,2851
5,37,2846
36,47,2844
8,4,2839
43,48,2837
83,4,2834
3,4,2831
127,133,2830
4,58,2826
29,30,2825
4,31,2815
5,40,2808
42,4,2807
117,30,2803
31,79,2801
43,45,2800
48,63,2799
126,127,2794
72,68,2792
8,36,2783
70,44,2780
113,3,2773
13,47,2765
4,61,2765
26,3,2763
112,120,2760
57,5,2760
70,12,2755
4,24,2753
43,149,2743
17,11,2742
35,9,2740
139,149,2740
31,32,2739
75,72,2733
69,68,2722
67,69,2721
76,91,2716
11,12,2716
39,36,2715
149,19,2710
5,31,2707
53,57,2703
71,69,2699
89,4,2695
10,42,2688
77,72,2686
132,131,2684
82,86,2678
127,131,2670
33,80,2668
18,5,2664
99,97,2660
29,138,2656
8,7,2649
79,3,2640
136,133,2636
65,75,2632
15,35,2631
84,5,2628
71,31,2626
48,61,2620
30,4,2619
4,11,2608
121,127,2604
31,19,2602
4,113,2601
12,39,2596
2,39,2595
69,36,2594
104,75,2594
48,74,2594
4,66,2593
104,9,2592
104,5,2589
64,4,2585
30,125,2585
26,17,2582
8,43,2579
29,33,2577
82,33,2576
33,26,2572
101,69,2568
4,91,2562
32,19,2561
101,4,2560
86,82,2560
15,42,2557
125,130,2555
17,20,2551
15,12,2546
84,26,2536
4,98,2534
127,113,2533
126,131,2532
101,36,2527
46,2,2525
9,17,2522
88,72,2513
19,4,2513
63,48,2509
40,39,2507
18,30,2506
26,5,2504
75,76,2503
49,4,2496
14,5,2494
58,53,2488
66,4,2487
137,138,2486
138,29,2484
104,76,2484
7,19,2483
149,15,2482
18,11,2480
39,2,2477
5,23,2475
15,24,2474
138,30,2470
47,45,2469
12,40,2469
127,3,2467
30,120,2461
129,121,2451
24,30,2450
18,9,2449
41,43,2448
10,39,2442
87,72,2440
9,42,2439
47,71,2436
53,65,2436
113,127,2435
50,5,2430
12,35,2419
129,113,2414
4,34,2411
74,72,2408
4,80,2406
91,72,2405
89,69,2405
39,46,2403
7,43,2401
4,82,2399
105,4,2395
5,41,2393
8,19,2388
113,125,2388
44,12,2387
86,95,2385
127,30,2379
4,23,2379
14,4,2377
19,149,2376
140,141,2374
18,8,2373
65,76,2372
32,30,2368
84,69,2368
125,3,2367
32,34,2367
101,33,2367
117,127,2363
141,151,2362
133,136,2360
4,149,2358
48,43,2356
98,101,2356
73,72,2350
2,36,2347
2,12,2346
30,117,2338
86,100,2334
31,30,2331
46,45,2330
38,43,2327
15,18,2324
43,71,2321
37,40,2321
72,74,2316
82,31,2315
4,101,2315
65,61,2313
18,24,2309
69,71,2307
95,99,2307
10,36,2307
19,5,2306
43,68,2305
129,128,2296
74,45,2296
11,2,2295
132,3,2292
47,72,2290
8,18,2290
18,12,2289
61,49,2287
77,69,2285
12,69,2282
130,3,2282
76,98,2280
99,33,2279
12,72,2277
12,26,2275
1,9,2273
65,5,2270
65,9,2267
44,46,2267
1,12,2266
136,130,2261
117,3,2260
125,126,2254
132,134,2250
138,137,2247
9,76,2241
15,19,2241
76,9,2241
131,136,2240
44,36,2240
112,3,2237
130,131,2237
76,5,2235
9,24,2234
5,62,2233
29,4,2227
117,116,2227
58,61,2226
30,3,2224
141,140,2221
23,14,2220
48,62,2216
121,3,2214
9,62,2213
19,3,2213
21,67,2209
72,36,2206
127,121,2200
82,3,2200
78,72,2199
68,31,2192
43,31,2192
138,3,2184
43,17,2183
138,139,2180
2,72,2177
7,4,2176
49,63,2175
69,62,2174
4,124,2174
150,138,2174
29,31,2173
43,63,2173
44,45,2172
37,39,2172
17,9,2171
82,19,2169
32,3,2168
4,32,2168
51,5,2163
5,83,2162
130,136,2156
15,44,2156
112,30,2153
11,8,2152
148,150,2150
49,65,2150
6,35,2147
82,84,2146
86,4,2144
93,72,2139
63,74,2139
36,42,2138
5,17,2136
44,2,2130
34,33,2128
12,37,2127
133,3,2125
104,71,2120
38,39,2120
5,8,2117
33,34,2109
27,3,2108
140,145,2107
